provider,service,time_hours,price_yen,url,access_note
東京ガス,レンジフード,1.5,17600,https://kaji.tokyo-gas.co.jp/housecleaning/guide/price,公開料金一覧。作業時間めやす。
東京ガス,キッチン,2.33,19800,https://kaji.tokyo-gas.co.jp/housecleaning/guide/price,公開料金一覧。作業時間めやす。
東京ガス,浴室,2.33,17600,https://kaji.tokyo-gas.co.jp/housecleaning/guide/price,鏡ウロコ取りなし。
東京ガス,トイレ,1.0,13200,https://kaji.tokyo-gas.co.jp/housecleaning/guide/price,1箇所。
東京ガス,洗面所,1.0,13200,https://kaji.tokyo-gas.co.jp/housecleaning/guide/price,1箇所。
大阪ガス,エアコン（通常）,1.5,14850,https://home.osakagas.co.jp/housecleaning/price/index.html,お掃除機能なし1台目。2026-03-26時点の公開価格。
大阪ガス,レンジフード,1.5,21450,https://home.osakagas.co.jp/housecleaning/price/index.html,公開料金一覧。
大阪ガス,キッチン,2.0,19800,https://home.osakagas.co.jp/housecleaning/price/index.html,公開料金一覧。
大阪ガス,浴室,2.0,21450,https://home.osakagas.co.jp/housecleaning/price/index.html,公開料金一覧。
大阪ガス,トイレ,1.0,9900,https://home.osakagas.co.jp/housecleaning/price/index.html,公開料金一覧。
大阪ガス,洗面所,0.5,9900,https://home.osakagas.co.jp/housecleaning/price/index.html,公開料金一覧。
大阪ガス,浴室エプロン内部,1.0,10450,https://home.osakagas.co.jp/housecleaning/bathroom/detail1.html,浴室オプション。
大阪ガス,浴室暖房乾燥機,1.0,10450,https://home.osakagas.co.jp/housecleaning/bathroom/detail1.html,浴室オプション。
大阪ガス,追い焚き配管洗浄,1.0,10450,https://home.osakagas.co.jp/housecleaning/bathroom/detail1.html,浴室オプション。
ハウスウォッシュ,浴室,2.5,18700,https://house-wash.co.jp/menu/,通常1坪まで。
ハウスウォッシュ,キッチン,2.5,17600,https://house-wash.co.jp/menu/,標準キッチン。
ハウスウォッシュ,レンジフード,2.0,17600,https://house-wash.co.jp/menu/,フード付き。
ハウスウォッシュ,トイレ,1.0,8800,https://house-wash.co.jp/menu/,通常1箇所。
ハウスウォッシュ,洗面所,1.0,8800,https://house-wash.co.jp/menu/,通常1箇所。
