service_id,service_name,standard_person_hours,material_cost_yen,public_price_reference_yen,category,note
aircon_standard,エアコン（通常）,1.5,500,14850,エアコン,壁掛け・お掃除機能なし。初期標準時間は公開情報から設定。
bathroom,浴室,2.25,700,18700,水回り,通常1坪前後を想定。
kitchen,キッチン,2.25,800,19800,水回り,I/L/U型など標準キッチンを想定。
range_hood,レンジフード,1.75,600,17600,水回り,通常レンジフード。
toilet,トイレ,1.0,250,9900,水回り,通常1箇所。
washbasin,洗面所,1.0,200,9900,水回り,通常1箇所。
bath_apron,浴室エプロン内部,1.0,250,10450,浴室オプション,浴室と同時施工を想定。
bath_dryer,浴室暖房乾燥機,1.0,250,10450,浴室オプション,分解清掃を想定。
mirror_scale,鏡ウロコ取り,0.25,100,4400,浴室オプション,標準サイズ。
reheat_pipe,追い焚き配管洗浄,1.25,1000,10450,浴室オプション,機材・薬剤費は事業者差が大きいため要調整。
